,Part of speech 1,Part of speech 2,Number of n-gramms,Frequency of n-gramms,Name of text
2771,VERB,VERB,161,2.4,Dantis_De monarchia 2.txt
2772,NOUN,ADP,156,2.4,Dantis_De monarchia 2.txt
2773,NOUN,ADJ,149,2.2,Dantis_De monarchia 2.txt
2774,PRON,VERB,130,2.0,Dantis_De monarchia 2.txt
2775,ADV,VERB,128,1.9,Dantis_De monarchia 2.txt
2776,ADP,ADJ,113,1.7,Dantis_De monarchia 2.txt
2777,NOUN,CCONJ,112,1.7,Dantis_De monarchia 2.txt
2778,VERB,ADV,108,1.6,Dantis_De monarchia 2.txt
2779,NOUN,ADV,101,1.5,Dantis_De monarchia 2.txt
2780,VERB,SCONJ,101,1.5,Dantis_De monarchia 2.txt
2781,ADV,NOUN,98,1.5,Dantis_De monarchia 2.txt
2782,VERB,CCONJ,97,1.5,Dantis_De monarchia 2.txt
2783,CCONJ,NOUN,93,1.4,Dantis_De monarchia 2.txt
2784,NOUN,PRON,93,1.4,Dantis_De monarchia 2.txt
2785,ADJ,VERB,92,1.4,Dantis_De monarchia 2.txt
2786,DET,NOUN,92,1.4,Dantis_De monarchia 2.txt
2787,VERB,AUX,89,1.3,Dantis_De monarchia 2.txt
2788,ADP,PRON,86,1.3,Dantis_De monarchia 2.txt
2789,VERB,PRON,85,1.3,Dantis_De monarchia 2.txt
2790,PRON,NOUN,80,1.2,Dantis_De monarchia 2.txt
2791,SCONJ,NOUN,78,1.2,Dantis_De monarchia 2.txt
2926,NOUN,VERB,357,4.7,Dantis_De monarchia 3.txt
2927,ADP,NOUN,336,4.5,Dantis_De monarchia 3.txt
2928,NOUN,NOUN,238,3.2,Dantis_De monarchia 3.txt
2929,PRON,VERB,234,3.1,Dantis_De monarchia 3.txt
2930,VERB,ADP,232,3.1,Dantis_De monarchia 3.txt
2931,VERB,NOUN,223,3.0,Dantis_De monarchia 3.txt
2932,VERB,VERB,205,2.7,Dantis_De monarchia 3.txt
2933,ADV,VERB,169,2.2,Dantis_De monarchia 3.txt
2934,NOUN,CCONJ,158,2.1,Dantis_De monarchia 3.txt
2935,ADP,PRON,158,2.1,Dantis_De monarchia 3.txt
2936,VERB,SCONJ,151,2.0,Dantis_De monarchia 3.txt
2937,NOUN,ADJ,145,1.9,Dantis_De monarchia 3.txt
2938,VERB,PRON,143,1.9,Dantis_De monarchia 3.txt
2939,VERB,CCONJ,140,1.9,Dantis_De monarchia 3.txt
2940,ADJ,NOUN,139,1.8,Dantis_De monarchia 3.txt
2941,NOUN,ADP,134,1.8,Dantis_De monarchia 3.txt
2942,VERB,ADV,125,1.7,Dantis_De monarchia 3.txt
2943,DET,NOUN,123,1.6,Dantis_De monarchia 3.txt
2944,CCONJ,NOUN,109,1.4,Dantis_De monarchia 3.txt
2945,PART,VERB,102,1.4,Dantis_De monarchia 3.txt
2946,NOUN,PRON,99,1.3,Dantis_De monarchia 3.txt
2947,ADV,NOUN,98,1.3,Dantis_De monarchia 3.txt
2948,CCONJ,VERB,89,1.2,Dantis_De monarchia 3.txt
2949,NOUN,ADV,89,1.2,Dantis_De monarchia 3.txt
2950,ADJ,VERB,83,1.1,Dantis_De monarchia 3.txt
2951,SCONJ,NOUN,81,1.1,Dantis_De monarchia 3.txt
2952,ADP,ADJ,81,1.1,Dantis_De monarchia 3.txt
3092,NOUN,NOUN,478,6.9,Du Vernoi_Descriptio vasorum chyliferorum.txt
3093,NOUN,VERB,444,6.4,Du Vernoi_Descriptio vasorum chyliferorum.txt
3094,ADP,NOUN,298,4.3,Du Vernoi_Descriptio vasorum chyliferorum.txt
3095,ADJ,NOUN,257,3.7,Du Vernoi_Descriptio vasorum chyliferorum.txt
3096,NOUN,ADJ,229,3.3,Du Vernoi_Descriptio vasorum chyliferorum.txt
3097,VERB,NOUN,208,3.0,Du Vernoi_Descriptio vasorum chyliferorum.txt
3098,VERB,VERB,206,3.0,Du Vernoi_Descriptio vasorum chyliferorum.txt
3099,ADV,VERB,205,3.0,Du Vernoi_Descriptio vasorum chyliferorum.txt
3100,NOUN,ADP,181,2.6,Du Vernoi_Descriptio vasorum chyliferorum.txt
3101,DET,NOUN,152,2.2,Du Vernoi_Descriptio vasorum chyliferorum.txt
3102,NOUN,CCONJ,133,1.9,Du Vernoi_Descriptio vasorum chyliferorum.txt
3103,ADJ,VERB,132,1.9,Du Vernoi_Descriptio vasorum chyliferorum.txt
3104,ADP,ADJ,131,1.9,Du Vernoi_Descriptio vasorum chyliferorum.txt
3105,NOUN,ADV,130,1.9,Du Vernoi_Descriptio vasorum chyliferorum.txt
3106,VERB,AUX,130,1.9,Du Vernoi_Descriptio vasorum chyliferorum.txt
3107,CCONJ,NOUN,129,1.9,Du Vernoi_Descriptio vasorum chyliferorum.txt
3108,VERB,ADP,121,1.7,Du Vernoi_Descriptio vasorum chyliferorum.txt
3109,VERB,PRON,121,1.7,Du Vernoi_Descriptio vasorum chyliferorum.txt
3110,PRON,VERB,120,1.7,Du Vernoi_Descriptio vasorum chyliferorum.txt
3111,VERB,ADV,118,1.7,Du Vernoi_Descriptio vasorum chyliferorum.txt
3112,VERB,ADJ,115,1.7,Du Vernoi_Descriptio vasorum chyliferorum.txt
3113,VERB,SCONJ,113,1.6,Du Vernoi_Descriptio vasorum chyliferorum.txt
3114,ADV,NOUN,112,1.6,Du Vernoi_Descriptio vasorum chyliferorum.txt
3115,NOUN,PRON,111,1.6,Du Vernoi_Descriptio vasorum chyliferorum.txt
3116,ADP,PRON,108,1.6,Du Vernoi_Descriptio vasorum chyliferorum.txt
3117,PRON,ADV,101,1.5,Du Vernoi_Descriptio vasorum chyliferorum.txt
3118,PRON,NOUN,98,1.4,Du Vernoi_Descriptio vasorum chyliferorum.txt
3119,ADJ,AUX,89,1.3,Du Vernoi_Descriptio vasorum chyliferorum.txt
3120,ADJ,ADJ,76,1.1,Du Vernoi_Descriptio vasorum chyliferorum.txt
3121,ADV,ADP,76,1.1,Du Vernoi_Descriptio vasorum chyliferorum.txt
3122,ADV,ADJ,76,1.1,Du Vernoi_Descriptio vasorum chyliferorum.txt
3240,NOUN,VERB,1558,6.2,Erasmus_Stultitiae Laus.txt
3241,NOUN,NOUN,1543,6.1,Erasmus_Stultitiae Laus.txt
3242,VERB,NOUN,990,3.9,Erasmus_Stultitiae Laus.txt
3243,VERB,VERB,760,3.0,Erasmus_Stultitiae Laus.txt
3244,PRON,VERB,707,2.8,Erasmus_Stultitiae Laus.txt
3245,ADJ,NOUN,686,2.7,Erasmus_Stultitiae Laus.txt
3246,VERB,PRON,672,2.7,Erasmus_Stultitiae Laus.txt
3247,ADP,NOUN,617,2.5,Erasmus_Stultitiae Laus.txt
3248,ADV,VERB,612,2.4,Erasmus_Stultitiae Laus.txt
3249,NOUN,PRON,593,2.4,Erasmus_Stultitiae Laus.txt
3250,VERB,SCONJ,584,2.3,Erasmus_Stultitiae Laus.txt
3251,VERB,ADV,552,2.2,Erasmus_Stultitiae Laus.txt
3252,DET,NOUN,539,2.1,Erasmus_Stultitiae Laus.txt
3253,NOUN,ADJ,522,2.1,Erasmus_Stultitiae Laus.txt
3254,PRON,NOUN,507,2.0,Erasmus_Stultitiae Laus.txt
3255,NOUN,ADV,476,1.9,Erasmus_Stultitiae Laus.txt
3256,NOUN,CCONJ,453,1.8,Erasmus_Stultitiae Laus.txt
3257,PRON,ADV,449,1.8,Erasmus_Stultitiae Laus.txt
3258,VERB,CCONJ,439,1.7,Erasmus_Stultitiae Laus.txt
3259,ADV,NOUN,416,1.7,Erasmus_Stultitiae Laus.txt
3260,CCONJ,NOUN,412,1.6,Erasmus_Stultitiae Laus.txt
3261,ADJ,VERB,400,1.6,Erasmus_Stultitiae Laus.txt
3262,PRON,PRON,375,1.5,Erasmus_Stultitiae Laus.txt
3263,SCONJ,NOUN,326,1.3,Erasmus_Stultitiae Laus.txt
3264,SCONJ,PRON,310,1.2,Erasmus_Stultitiae Laus.txt
3265,NOUN,SCONJ,301,1.2,Erasmus_Stultitiae Laus.txt
3266,VERB,ADP,294,1.2,Erasmus_Stultitiae Laus.txt
3267,NOUN,DET,292,1.2,Erasmus_Stultitiae Laus.txt
3268,VERB,ADJ,281,1.1,Erasmus_Stultitiae Laus.txt
3269,ADV,ADJ,271,1.1,Erasmus_Stultitiae Laus.txt
3270,ADV,PRON,269,1.1,Erasmus_Stultitiae Laus.txt
3271,PRON,ADJ,267,1.1,Erasmus_Stultitiae Laus.txt
3272,NOUN,ADP,264,1.1,Erasmus_Stultitiae Laus.txt
3411,NOUN,NOUN,117,9.3,Hermanni_De Problemate Kepleriano.txt
3412,NOUN,VERB,84,6.7,Hermanni_De Problemate Kepleriano.txt
3413,VERB,NOUN,66,5.3,Hermanni_De Problemate Kepleriano.txt
3414,ADP,NOUN,63,5.0,Hermanni_De Problemate Kepleriano.txt
3415,VERB,VERB,50,4.0,Hermanni_De Problemate Kepleriano.txt
3416,NOUN,ADP,38,3.0,Hermanni_De Problemate Kepleriano.txt
3417,ADJ,NOUN,33,2.6,Hermanni_De Problemate Kepleriano.txt
3418,VERB,ADP,29,2.3,Hermanni_De Problemate Kepleriano.txt
3419,NOUN,NUM,29,2.3,Hermanni_De Problemate Kepleriano.txt
3420,NOUN,PRON,27,2.2,Hermanni_De Problemate Kepleriano.txt
3421,NOUN,ADJ,27,2.2,Hermanni_De Problemate Kepleriano.txt
3422,DET,NOUN,26,2.1,Hermanni_De Problemate Kepleriano.txt
3423,NUM,NOUN,22,1.8,Hermanni_De Problemate Kepleriano.txt
3424,ADV,NOUN,22,1.8,Hermanni_De Problemate Kepleriano.txt
3425,NOUN,ADV,21,1.7,Hermanni_De Problemate Kepleriano.txt
3426,PRON,VERB,21,1.7,Hermanni_De Problemate Kepleriano.txt
3427,PRON,NOUN,20,1.6,Hermanni_De Problemate Kepleriano.txt
3428,ADJ,VERB,20,1.6,Hermanni_De Problemate Kepleriano.txt
3429,VERB,ADV,19,1.5,Hermanni_De Problemate Kepleriano.txt
3430,ADV,VERB,17,1.4,Hermanni_De Problemate Kepleriano.txt
3431,AUX,NOUN,17,1.4,Hermanni_De Problemate Kepleriano.txt
3432,NOUN,CCONJ,17,1.4,Hermanni_De Problemate Kepleriano.txt
3433,NOUN,DET,16,1.3,Hermanni_De Problemate Kepleriano.txt
3434,VERB,PRON,15,1.2,Hermanni_De Problemate Kepleriano.txt
3435,VERB,ADJ,14,1.1,Hermanni_De Problemate Kepleriano.txt
3436,ADP,ADJ,14,1.1,Hermanni_De Problemate Kepleriano.txt
3538,NOUN,NOUN,826,8.3,Hermanni_De mensura virium corporum.txt
3539,NOUN,VERB,577,5.8,Hermanni_De mensura virium corporum.txt
3540,ADP,NOUN,489,4.9,Hermanni_De mensura virium corporum.txt
3541,VERB,NOUN,358,3.6,Hermanni_De mensura virium corporum.txt
3542,NOUN,ADP,340,3.4,Hermanni_De mensura virium corporum.txt
3543,NOUN,ADJ,323,3.2,Hermanni_De mensura virium corporum.txt
3544,VERB,VERB,288,2.9,Hermanni_De mensura virium corporum.txt
3545,DET,NOUN,265,2.7,Hermanni_De mensura virium corporum.txt
3546,VERB,ADP,262,2.6,Hermanni_De mensura virium corporum.txt
3547,ADJ,NOUN,256,2.6,Hermanni_De mensura virium corporum.txt
3548,NOUN,PRON,205,2.1,Hermanni_De mensura virium corporum.txt
3549,ADV,VERB,192,1.9,Hermanni_De mensura virium corporum.txt
3550,VERB,ADV,189,1.9,Hermanni_De mensura virium corporum.txt
3551,NOUN,NUM,178,1.8,Hermanni_De mensura virium corporum.txt
3552,PRON,VERB,165,1.7,Hermanni_De mensura virium corporum.txt
3553,SCONJ,NOUN,165,1.7,Hermanni_De mensura virium corporum.txt
3554,VERB,SCONJ,164,1.6,Hermanni_De mensura virium corporum.txt
3555,ADV,NOUN,155,1.6,Hermanni_De mensura virium corporum.txt
3556,CCONJ,NOUN,150,1.5,Hermanni_De mensura virium corporum.txt
3557,ADJ,VERB,143,1.4,Hermanni_De mensura virium corporum.txt
3558,NOUN,ADV,140,1.4,Hermanni_De mensura virium corporum.txt
3559,NOUN,DET,140,1.4,Hermanni_De mensura virium corporum.txt
3560,NUM,NOUN,138,1.4,Hermanni_De mensura virium corporum.txt
3561,NOUN,CCONJ,138,1.4,Hermanni_De mensura virium corporum.txt
3562,ADP,PRON,129,1.3,Hermanni_De mensura virium corporum.txt
3563,PRON,NOUN,128,1.3,Hermanni_De mensura virium corporum.txt
3564,VERB,PRON,110,1.1,Hermanni_De mensura virium corporum.txt
3565,VERB,CCONJ,108,1.1,Hermanni_De mensura virium corporum.txt
3696,NOUN,VERB,235,5.3,Leibnitius_De ipsa natura.txt
3697,NOUN,NOUN,217,4.9,Leibnitius_De ipsa natura.txt
3698,ADV,VERB,163,3.7,Leibnitius_De ipsa natura.txt
3699,VERB,NOUN,161,3.6,Leibnitius_De ipsa natura.txt
3700,VERB,VERB,149,3.4,Leibnitius_De ipsa natura.txt
3701,ADP,NOUN,137,3.1,Leibnitius_De ipsa natura.txt
3702,NOUN,ADJ,111,2.5,Leibnitius_De ipsa natura.txt
3703,VERB,ADV,108,2.4,Leibnitius_De ipsa natura.txt
3704,ADJ,NOUN,106,2.4,Leibnitius_De ipsa natura.txt
3705,PRON,VERB,105,2.4,Leibnitius_De ipsa natura.txt
3706,NOUN,CCONJ,96,2.2,Leibnitius_De ipsa natura.txt
3707,VERB,PRON,91,2.0,Leibnitius_De ipsa natura.txt
3708,DET,NOUN,90,2.0,Leibnitius_De ipsa natura.txt
3709,CCONJ,NOUN,88,2.0,Leibnitius_De ipsa natura.txt
3710,VERB,CCONJ,86,1.9,Leibnitius_De ipsa natura.txt
3711,ADP,PRON,80,1.8,Leibnitius_De ipsa natura.txt
3712,VERB,ADP,77,1.7,Leibnitius_De ipsa natura.txt
3713,VERB,SCONJ,75,1.7,Leibnitius_De ipsa natura.txt
3714,ADV,NOUN,73,1.6,Leibnitius_De ipsa natura.txt
3715,NOUN,ADP,70,1.6,Leibnitius_De ipsa natura.txt
3716,PRON,ADV,70,1.6,Leibnitius_De ipsa natura.txt
3717,NOUN,ADV,66,1.5,Leibnitius_De ipsa natura.txt
3718,PRON,NOUN,62,1.4,Leibnitius_De ipsa natura.txt
3719,ADV,ADV,59,1.3,Leibnitius_De ipsa natura.txt
3720,NOUN,DET,57,1.3,Leibnitius_De ipsa natura.txt
3721,NOUN,PRON,56,1.3,Leibnitius_De ipsa natura.txt
3722,ADJ,VERB,56,1.3,Leibnitius_De ipsa natura.txt
3843,NOUN,VERB,227,6.1,Nepos_Atticus.txt
3844,NOUN,NOUN,160,4.3,Nepos_Atticus.txt
3845,VERB,NOUN,128,3.5,Nepos_Atticus.txt
3846,VERB,VERB,119,3.2,Nepos_Atticus.txt
3847,PRON,VERB,117,3.2,Nepos_Atticus.txt
3848,ADP,NOUN,113,3.0,Nepos_Atticus.txt
3849,DET,NOUN,93,2.5,Nepos_Atticus.txt
3850,ADJ,NOUN,90,2.4,Nepos_Atticus.txt
3851,NOUN,ADJ,86,2.3,Nepos_Atticus.txt
3852,NOUN,PRON,85,2.3,Nepos_Atticus.txt
3853,PRON,NOUN,84,2.3,Nepos_Atticus.txt
3854,VERB,PRON,81,2.2,Nepos_Atticus.txt
3855,VERB,SCONJ,72,1.9,Nepos_Atticus.txt
3856,ADV,VERB,69,1.9,Nepos_Atticus.txt
3857,NOUN,CCONJ,63,1.7,Nepos_Atticus.txt
3858,VERB,ADV,59,1.6,Nepos_Atticus.txt
3859,ADJ,VERB,56,1.5,Nepos_Atticus.txt
3860,VERB,NUM,55,1.5,Nepos_Atticus.txt
3861,ADV,NOUN,55,1.5,Nepos_Atticus.txt
3862,NOUN,ADP,54,1.5,Nepos_Atticus.txt
3863,PRON,PRON,54,1.5,Nepos_Atticus.txt
3864,CCONJ,NOUN,52,1.4,Nepos_Atticus.txt
3865,VERB,CCONJ,52,1.4,Nepos_Atticus.txt
3866,ADP,PRON,48,1.3,Nepos_Atticus.txt
3867,PRON,ADP,46,1.2,Nepos_Atticus.txt
3868,NOUN,SCONJ,42,1.1,Nepos_Atticus.txt
3869,SCONJ,PRON,42,1.1,Nepos_Atticus.txt
3870,NOUN,ADV,42,1.1,Nepos_Atticus.txt
3871,VERB,AUX,41,1.1,Nepos_Atticus.txt
3998,NOUN,VERB,659,6.1,Cicero_Pro Milone.txt
3999,NOUN,NOUN,574,5.4,Cicero_Pro Milone.txt
4000,VERB,VERB,391,3.6,Cicero_Pro Milone.txt
4001,VERB,NOUN,386,3.6,Cicero_Pro Milone.txt
4002,ADP,NOUN,327,3.1,Cicero_Pro Milone.txt
4003,PRON,VERB,325,3.0,Cicero_Pro Milone.txt
4004,VERB,PRON,316,2.9,Cicero_Pro Milone.txt
4005,ADJ,NOUN,280,2.6,Cicero_Pro Milone.txt
4006,DET,NOUN,277,2.6,Cicero_Pro Milone.txt
4007,NOUN,ADJ,257,2.4,Cicero_Pro Milone.txt
4008,PRON,NOUN,255,2.4,Cicero_Pro Milone.txt
4009,NOUN,PRON,240,2.2,Cicero_Pro Milone.txt
4010,ADV,VERB,202,1.9,Cicero_Pro Milone.txt
4011,PRON,PRON,195,1.8,Cicero_Pro Milone.txt
4012,VERB,ADV,188,1.8,Cicero_Pro Milone.txt
4013,VERB,SCONJ,183,1.7,Cicero_Pro Milone.txt
4014,NOUN,DET,169,1.6,Cicero_Pro Milone.txt
4015,VERB,CCONJ,167,1.6,Cicero_Pro Milone.txt
4016,NOUN,CCONJ,162,1.5,Cicero_Pro Milone.txt
4017,VERB,ADP,150,1.4,Cicero_Pro Milone.txt
4018,ADP,PRON,149,1.4,Cicero_Pro Milone.txt
4019,PRON,ADV,142,1.3,Cicero_Pro Milone.txt
4020,NOUN,ADP,140,1.3,Cicero_Pro Milone.txt
4021,ADV,NOUN,130,1.2,Cicero_Pro Milone.txt
4022,VERB,AUX,129,1.2,Cicero_Pro Milone.txt
4023,CCONJ,NOUN,128,1.2,Cicero_Pro Milone.txt
4024,ADJ,VERB,122,1.1,Cicero_Pro Milone.txt
4025,NOUN,ADV,122,1.1,Cicero_Pro Milone.txt
4026,NOUN,SCONJ,115,1.1,Cicero_Pro Milone.txt
